,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
2830,Hyundai,Grand i10MAGNA 1.2 KAPPA VTVT,512499,2014,Kolkata,Petrol,47204,Manual,1,10746
2831,Renault,Kwid1.0 RXT Opt,554399,2020,Kolkata,Petrol,78628,Manual,1,8095
2832,Hyundai,Grand i10SPORTS 1.2 VTVT,1289699,2014,Kolkata,Petrol,44484,Manual,1,8595
2833,Hyundai,NEW SANTROSPORTZ 1.1,436599,2018,Kolkata,Petrol,38316,Manual,1,12016
2834,Maruti,Alto K10LXI,819199,2013,Kolkata,Petrol,69855,Manual,1,10586
2835,Maruti,Eeco5 STR WITH AC PLUSHTR,1073099,2015,Kolkata,Petrol,84343,Manual,1,8097
2836,Maruti,Alto K10LXI,394199,2012,Kolkata,Petrol,982,Manual,1,5252
2837,Maruti,Alto K10VXI,501099,2012,Kolkata,Petrol,48059,Manual,1,9527
2838,Maruti,Wagon R 1.0LXI,1056099,2014,Kolkata,Petrol,100848,Manual,1,10582
2839,Maruti,Wagon R 1.0VXI,616899,2018,Kolkata,Petrol,36937,Manual,1,6575
2840,Maruti,Alto K10VXI,679199,2018,Kolkata,Petrol,48858,Manual,1,9903
2841,Hyundai,Grand i10MAGNA 1.2 VTVT,305499,2018,Kolkata,Petrol,56321,Manual,1,9714
2842,Renault,Kwid1.0 CLIMBER OPT,971299,2020,Kolkata,Petrol,28329,Manual,1,13186
2843,Maruti,Wagon R 1.0VXI,639199,2012,Kolkata,Petrol,40771,Manual,2,4883
2844,Hyundai,Grand i10SPORTZ O 1.2,689399,2018,Kolkata,Petrol,33677,Manual,1,11209
2845,Hyundai,Grand i10ASTA 1.2 (O) VTVT,411899,2014,Kolkata,Petrol,498,Manual,1,8680
2846,Hyundai,NEW SANTROSPORTZ 1.1,329699,2018,Kolkata,Petrol,3904,Manual,1,5330
2847,Maruti,Wagon R 1.0VXI,756299,2018,Kolkata,Petrol,31436,Manual,1,8250
2848,Maruti,Alto 800LXI,528699,2014,Kolkata,Petrol,31165,Manual,1,8230
2849,Hyundai,Grand i10MAGNA 1.2 VTVT,524599,2017,Kolkata,Petrol,18367,Manual,1,12928
2850,Maruti,Alto 800LXI,627699,2018,Kolkata,Petrol,45966,Manual,1,8715
2851,Maruti,Wagon R 1.0VXI,203299,2014,Kolkata,Petrol,67254,Manual,1,10642
2852,Maruti,Wagon R 1.0VXI,862499,2014,Kolkata,Petrol,13563,Manual,1,5130
2853,Maruti,BalenoALPHA 1.2 K12,568099,2017,Kolkata,Petrol,30544,Manual,2,5083
2854,Maruti,Wagon R 1.0VXI,1126199,2018,Kolkata,Petrol,37144,Manual,1,9020
2855,Maruti,Wagon R 1.0VXI,653499,2014,Kolkata,Petrol,29799,Manual,2,4642
2856,Maruti,Wagon R 1.0VXI,780999,2015,Kolkata,Petrol,46387,Manual,2,9042
2857,Maruti,Wagon R 1.0VXI,1439899,2018,Kolkata,Petrol,29524,Manual,1,6291
2858,Maruti,Alto 800LXI,797299,2014,Kolkata,Petrol,34218,Manual,1,12553
2859,Maruti,S PRESSOVXI PLUS,653499,2019,Kolkata,Petrol,126168,Manual,1,9621
2860,Maruti,Wagon R 1.0VXI,735399,2015,Kolkata,Petrol,60955,Manual,1,12541
2861,Maruti,Wagon R 1.0VXI,643199,2015,Kolkata,Petrol,27650,Manual,2,4791
2862,Maruti,Wagon R 1.0VXI,344499,2015,Kolkata,Petrol,47804,Manual,2,9182
2863,Maruti,Wagon R 1.0VXI,968299,2014,Kolkata,Petrol,30377,Manual,1,7910
2864,Maruti,Alto 800LXI,555099,2018,Kolkata,Petrol,73877,Manual,1,7834
2865,Maruti,Alto K10VXI,398699,2016,Kolkata,Petrol,14740,Manual,1,9025
2866,Maruti,Alto 800LXI,1459599,2018,Kolkata,Petrol,41654,Manual,1,8535
2867,Maruti,Alto 800LXI,671399,2014,Kolkata,Petrol,12673,Manual,1,10966
2868,Maruti,Wagon R 1.0VXI,630599,2014,Kolkata,Petrol,113700,Manual,1,4938
2869,Maruti,Alto 800LXI,462499,2014,Kolkata,Petrol,81055,Manual,1,6377
2870,Hyundai,Grand i10SPORTS 1.2 VTVT,915199,2015,Kolkata,Petrol,1609,Manual,1,4829
2871,Maruti,S PRESSOVXI,623499,2020,Kolkata,Petrol,36989,Manual,1,5003
2872,Maruti,Alto 800LXI,1161399,2014,Kolkata,Petrol,63459,Manual,1,6309
2873,Maruti,Alto 800LXI,562199,2018,Kolkata,Petrol,26371,Manual,1,9049
2874,Maruti,AltoVXI,542399,2019,Kolkata,Petrol,43650,Manual,1,6838
2875,Maruti,AltoVXI,1072399,2019,Kolkata,Petrol,22017,Manual,2,9714
2876,Maruti,AltoLXI,609199,2019,Kolkata,Petrol,690,Manual,1,9625
2877,Maruti,Alto 800LXI,470299,2018,Kolkata,Petrol,27508,Manual,1,6573
